id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0387,대전광역시의회 서편,대전광역시의회 서편,대전광역시의회 서편,36.349892,127.383207,둔산동 1420,0
ST0388,탄방동 한국농어촌공사(49),탄방동 한국농어촌공사(49),탄방동 한국농어촌공사(49),36.347204,127.390034,탄방동 736,0
ST0389,탄방역 4번출구(대전종합고용지원센터)(48),탄방역 4번출구(대전종합고용지원센터)(48),탄방역 4번출구(대전종합고용지원센터)(48),36.346408,127.385243,탄방동 659,0
ST0390,국민연금서대전지사 정류장(탄방역 방면),국민연금서대전지사 정류장(탄방역 방면),국민연금서대전지사 정류장(탄방역 방면),36.346224,127.382461,대전광역시 서구 탄방동 1447-1,2
ST0391,현대자동차블루핸즈 둔산동부점,현대자동차블루핸즈 둔산동부점,현대자동차블루핸즈 둔산동부점,36.345914,127.381544,둔산동 1241,1
ST0392,한가람네거리 삼성디지털프라자,한가람네거리 삼성디지털프라자,한가람네거리 삼성디지털프라자,36.346524,127.389871,탄방동 792,1
ST0393,한가람아파트(50),한가람아파트(50),한가람아파트(50),36.346847,127.393365,탄방동 835,0
ST0394,공작한양아파트 11동,공작한양아파트 11동,공작한양아파트 11동,36.348175,127.395097,대전광역시 서구 탄방동 1447,0
ST0395,국화아파트(501동)(16),국화아파트(501동)(16),국화아파트(501동)(16),36.353971,127.395465,둔산동 1809,4
ST0396,목동더샵리슈빌 정문,목동더샵리슈빌 정문,목동더샵리슈빌 정문,36.333444,127.414730,목동 1-95,0
ST0397,목동더샵리슈빌 남측,목동더샵리슈빌 남측,목동더샵리슈빌 남측,36.331896,127.415147,목동 1-95,2
ST0398,엑스포과학공원(27),엑스포과학공원(27),엑스포과학공원(27),36.377591,127.379120,도룡동 3-1,6
ST0399,전자통신연구원(158),전자통신연구원(158),전자통신연구원(158),36.384110,127.366660,가정동 180,3
ST0400,대덕대학교(259),대덕대학교(259),대덕대학교(259),36.390204,127.362603,장동 48,0
ST0401,죽동 대원칸타빌(227),죽동 대원칸타빌(227),죽동 대원칸타빌(227),36.369165,127.333954,죽동 683,1
ST0403,온천2동 행정복지센터(232),온천2동 행정복지센터(232),온천2동 행정복지센터(232),36.364921,127.333596,장대동 40-2,0
ST0404,한진오피스텔(57),한진오피스텔(57),한진오피스텔(57),36.357899,127.342711,봉명동 607-3,0
ST0405,현충원역 3번출구(183),현충원역 3번출구(183),현충원역 3번출구(183),36.359578,127.320842,구암동 424-88,1
ST0406,홈플러스 유성점(32),홈플러스 유성점(32),홈플러스 유성점(32),36.359359,127.354231,봉명동 669,1
ST0407,둔산 하이마트(14),둔산 하이마트(14),둔산 하이마트(14),36.355470,127.379202,둔산동 962,3
ST0408,서대전역(242),서대전역(242),서대전역(242),36.322134,127.404813,오류동 170-1,1
ST0409,서대전역네거리(135),서대전역네거리(135),서대전역네거리(135),36.320736,127.405943,오류동 168-7,1
ST0410,서대전네거리역 3번출구(139),서대전네거리역 3번출구(139),서대전네거리역 3번출구(139),36.322278,127.411375,오류동 152-1,2
ST0411,중촌초등학교 건너편(157),중촌초등학교 건너편(157),중촌초등학교 건너편(157),36.340623,127.410669,중촌동 88,0
ST0412,무역전시관입구(택시승강장)(1),무역전시관입구(택시승강장)(1),무역전시관입구(택시승강장)(1),36.374363,127.387482,도룡동 3-1,9
ST0413,대전컨벤션센터(2),대전컨벤션센터(2),대전컨벤션센터(2),36.374418,127.392016,도룡동 4-19,2
ST0414,스마트시티(201동)(28),스마트시티(201동)(28),스마트시티(201동)(28),36.377890,127.390647,도룡동 4-6,1
ST0415,선사유적지공용주차장(30),선사유적지공용주차장(30),선사유적지공용주차장(30),36.361898,127.379217,월평동 243,3
ST0416,무지개아파트(173),무지개아파트(173),무지개아파트(173),36.357919,127.377163,월평동 298,2
ST0417,도로교통공단(건너편 라도무스)(261),도로교통공단(건너편 라도무스)(261),도로교통공단(건너편 라도무스)(261),36.332696,127.333147,원신흥동 578-6,0
ST0418,목원대학교 입구(108),목원대학교 입구(108),목원대학교 입구(108),36.331630,127.337940,용계동 664-4,2
ST0419,도안 양우내안애(187),도안 양우내안애(187),도안 양우내안애(187),36.343808,127.347395,원신흥동 485,0
ST0420,도안 휴먼시아 6단지(66),도안 휴먼시아 6단지(66),도안 휴먼시아 6단지(66),36.345581,127.340663,봉명동 1047-1,0
ST0421,도안 센트롤시티(65),도안 센트롤시티(65),도안 센트롤시티(65),36.348790,127.344508,봉명동 1022,0
ST0422,용정초등학교(130),용정초등학교(130),용정초등학교(130),36.454095,127.436957,대전광역시 대덕구 신탄진동 55,0
ST0423,삼정삼거리(132),삼정삼거리(132),삼정삼거리(132),36.449595,127.456612,대전광역시 대덕구 삼정동 27-4,0
ST0424,대전평생교육진흥원 본관,대전평생교육진흥원 본관,대전평생교육진흥원 본관,36.327708,127.419157,선화동 287-2,0
ST0425,둥지아파트(107동),둥지아파트(107동),둥지아파트(107동),36.358800,127.390439,대전광역시 서구 둔산동 1518,1
ST0426,샘머리아파트(209동),샘머리아파트(209동),샘머리아파트(209동),36.361040,127.390447,둔산동 1518,1
ST0427,남선공원 명성디자인기획,남선공원 명성디자인기획,남선공원 명성디자인기획,36.347244,127.397577,탄방동 1152,0
ST0428,탄방동 1333 ,탄방동 1333 ,탄방동 1333 ,36.347382,127.400373,탄방동 30,0
ST0430,초록마을 둔산점,초록마을 둔산점,초록마을 둔산점,36.351103,127.397032,둔산동 1818,1
ST0431,맘스터치 대전둔산점,맘스터치 대전둔산점,맘스터치 대전둔산점,36.350134,127.390006,둔산동 1499,1
ST0432,샘머리아파트(107동),샘머리아파트(107동),샘머리아파트(107동),36.364294,127.390451,대전광역시 서구 둔산동 1518,0
ST0433,둔산동 하이투자증권,둔산동 하이투자증권,둔산동 하이투자증권,36.352483,127.390068,둔산동 1506,1
ST0434,메트로펠리스오피스텔,메트로펠리스오피스텔,메트로펠리스오피스텔,36.352522,127.386933,둔산동 1547,0
ST0435,더캐피탈웨딩,더캐피탈웨딩,더캐피탈웨딩,36.358252,127.386982,둔산동 921,0
ST0437,대전가정법원 입구,대전가정법원 입구,대전가정법원 입구,36.352751,127.386565,둔산동 1474,0
ST0438,시청역 1번출구,시청역 1번출구,시청역 1번출구,36.350719,127.386540,대전광역시 서구 둔산동 1420,0
ST0439,시청역 6번출구,시청역 6번출구,시청역 6번출구,36.351423,127.387039,대전광역시 서구 둔산동 1548,0
ST0440,시청역 4번출구,시청역 4번출구,시청역 4번출구,36.351520,127.386521,대전광역시 서구 둔산동 1408-1,0
ST0442,수정타운아파트 상가,수정타운아파트 상가,수정타운아파트 상가,36.359179,127.395393,둔산동 909,0
ST0443,둔산동 2116 공원,둔산동 2116 공원,둔산동 2116 공원,36.349157,127.398659,둔산동 2116,0
ST0444,둔산테크노(월평주공3단지 뒤편),둔산테크노(월평주공3단지 뒤편),둔산테크노(월평주공3단지 뒤편),36.364732,127.374154,월평동 1501,1
ST0445,황실타운 상가,황실타운 상가,황실타운 상가,36.359912,127.371860,월평동 302,0
ST0446,월평동 미래빌딩,월평동 미래빌딩,월평동 미래빌딩,36.360274,127.376789,월평동 271,10
ST0447,만년동 공영주차장,만년동 공영주차장,만년동 공영주차장,36.366298,127.372605,만년동 74,0
ST0448,서구 만년동 10(만년고 뒤편),서구 만년동 10(만년고 뒤편),서구 만년동 10(만년고 뒤편),36.367263,127.372333,만년동 10,0
ST0449,만년동 초원아파트105동 육교 밑,만년동 초원아파트105동 육교 밑,만년동 초원아파트105동 육교 밑,36.368247,127.379332,만년동 401,0
ST0451,만년동 크리스탈웨딩홀,만년동 크리스탈웨딩홀,만년동 크리스탈웨딩홀,36.369271,127.381306,만년동 305,1
ST0452,만년동 빽다방,만년동 빽다방,만년동 빽다방,36.368537,127.382520,만년동 390,0
